"hosts","viruses","prop_false"
718,3083,0.126926196269262
1266,4538,0.0393678957582478
566,2116,0.236470588235294
1004,3595,0.111111111111111
97,604,0.442913385826772
997,3575,0.102501737317582
1491,5231,0.00908656145384978
719,2902,0.143101238786843
449,2133,0.212138728323699
1236,4493,0.0437447757035386
481,2125,0.216452742123687
1139,4256,0.0492874109263658
376,1962,0.235109717868339
952,3490,0.107283817725152
231,1023,0.382716049382716
914,3470,0.109786926688335
861,3802,0.0850228907782865
735,2805,0.153846153846154
644,2221,0.192198982475975
984,3764,0.0978260869565217
965,3951,0.0787916536904392
779,3287,0.112622826908541
1542,5409,0.00207852193995384
25,132,0.512605042016807
221,1382,0.289686098654709
1558,5372,0.00232937339855577
176,738,0.436688311688312
606,2430,0.189315352697095
1541,5302,0.00660221645838244
1179,4545,0.0524733533752392
569,2784,0.153641207815275
281,1617,0.248665141113654
1227,4273,0.056453984122317
13,80,0.616438356164384
441,2195,0.221040850587577
928,3345,0.116810183451891
1259,4426,0.0541982589160348
1380,4997,0.0287912633407793
142,584,0.418219461697723
1051,3798,0.0761050182784978
370,1781,0.255201109570042
1256,4910,0.0271711528694769
321,1770,0.254768392370572
251,1227,0.324242424242424
804,3063,0.130937629078893
708,2647,0.166350710900474
659,2449,0.180121089808274
1468,5014,0.0179955011247188
1038,3751,0.0825749915739804
345,1538,0.278135048231511
845,2990,0.133981403212172
921,3679,0.0950272479564033
916,3710,0.080354102826013
337,1517,0.247987117552335
1285,4472,0.0442825112107623
757,2961,0.139544688026982
1158,4459,0.0432827431141091
461,1839,0.228671328671329
1186,4569,0.0440251572327044
695,2592,0.176053005205868
457,1642,0.254946727549467
813,2688,0.154275092936803
1448,4999,0.021021021021021
259,1657,0.257724189902035
1304,4636,0.0369371798328391
601,2412,0.183705241307732
581,2292,0.183060109289617
310,1444,0.296675191815857
69,316,0.448529411764706
435,1849,0.241077441077441
1498,5072,0.0148331273176762
1295,4628,0.0382113821138211
1192,4164,0.075246342191699
112,667,0.412698412698413
1050,4107,0.0633759902498476
1296,4858,0.0300693909020817
1254,4582,0.045479302832244
783,2891,0.13439244310863
1400,4854,0.021049896049896
260,1324,0.266114180478821
408,1951,0.196040868454662
1490,5255,0.0125622185351979
760,2972,0.142368533561351
80,320,0.565543071161049
1335,4706,0.0312667022982362
1117,4145,0.0578210590383444
218,909,0.331015299026426
242,1187,0.31530612244898
