Host,Parasite
Graomys griseoflavus,Stilestrongylus franciscanus
Akodon simulator,Stilestrongylus freitasi
Scapteromys aquaticus,Stilestrongylus scapteromys
Scapteromys aquaticus,Stilestrongylus talaverensis
Myocastor coypus,Strongyloides myopotami
Oxymycterus rufus,Suttonema delta
Platalea ajaja,Syncuaria diacantha
Plegadis chihi,Syncuaria plegadisi
Tyto alba,Synhimantus laticeps
Holochilus brasiliensis,Tapironema coronatum
Plegadis chihi,Tetrameres aspicula
Calidris fuscicollis,Tetrameres megaphasmidiata
Charadrius falklandicus,Tetrameres megaphasmidiata
Conepatus chinga,Toxascaris leonina
Lutreolina crassicaudata,Travassostrongylus yungaensis
Thylamys venustus,Travassostrongylus yungaensis
Chaetophractus villosus,Trichohelix tuberculata
Ctenomys talarum,Trichuris bursacaudata
Dolichotis patagonum,Trichuris dolichotis
Scapteromys aquaticus,Trichuris laevitestis
Myocastor coypus,Trichuris nutria
Ctenomys azarae,Trichuris pampeana
Lama glama,Trichuris tenuis
Vicugna vicugna,Trichuris tenuis
Cavia aperea,Vianella travassosi
Lagidium viscacia,Vianella viscaciae
Lagostomus maximus,Vianella viscaciae
Cnemidophorus sonorae,Abbreviata terrapenis
Sceloporus jarrovii,Abbreviata terrapenis
Thamnophis cyrtopsis,Abbreviata terrapenis
Gastrophryne olivacea,Aplectana incerta
Scaphiopus couchii,Aplectana incerta
Gastrophryne olivacea,Aplectana itzocanensis
Scaphiopus couchii,Aplectana itzocanensis
Hemidactylus turcicus,Ascarops strongylina
Cophosaurus texanus,Atractis penneri
Holbrookia maculata,Atractis penneri
Phrynosoma cornutum,Atractis penneri
Phrynosoma platyrhinos,Atractis penneri
Phrynosoma solare,Atractis penneri
Sceloporus magister,Atractis penneri
Sceloporus virgatus,Atractis penneri
Dipsosaurus dorsalis,Atractis scelopori
Hyla arenicolor,Cosmocercella haberi
Hyla wrightorum,Cosmocercella haberi
Elgaria kingii,Cosmocercoides variabilis
Phrynosoma solare,Cyrtosomum readi
Dipsosaurus dorsalis,Cyrtosomum scelopori
Pseudacris triseriata,Falcaustra catesbeianae
Thamnophis cyrtopsis,Ophidascaris labiatopapillosa
Scaphiopus couchii,Oswaldocruzia pipiens
Cnemidophorus sonorae,Parathelandros texanus
Lepus alleni,Passalurus ambiguus
Lepus californicus,Passalurus ambiguus
Sylvilagus audubonii,Passalurus ambiguus
Cnemidophorus burti,Pharyngodon cnemidophori
Coleonyx variegatus,Pharyngodon ozkutzcabiensis
Cnemidophorus inornatus,Pharyngodon warneri
Cnemidophorus sonorae,Pharyngodon warneri
Urosaurus ornatus,Pharyngodon warneri
Cnemidophorus burti,Physaloptera retusa
Sceloporus jarrovii,Physaloptera retusa
Sceloporus magister,Physaloptera retusa
Sceloporus undulatus,Physaloptera retusa
Sceloporus virgatus,Physaloptera retusa
Cnemidophorus burti,Skrjabinoptera phrynosoma
Phrynosoma cornutum,Skrjabinoptera phrynosoma
Phrynosoma modestum,Skrjabinoptera phrynosoma
Phrynosoma platyrhinos,Skrjabinoptera phrynosoma
Phrynosoma solare,Skrjabinoptera phrynosoma
Sceloporus magister,Skrjabinoptera phrynosoma
Elgaria kingii,Spauligodon garciaprietoi
Sceloporus jarrovii,Spauligodon giganticus
Sceloporus undulatus,Spauligodon giganticus
Urosaurus ornatus,Spauligodon giganticus
Elgaria kingii,Spauligodon goldbergi
Sceloporus jarrovii,Strongyluris similis
Cnemidophorus burti,Thubunaea cnemidophorus
Cnemidophorus sonorae,Thubunaea cnemidophorus
Cophosaurus texanus,Thubunaea iguanae
Sceloporus jarrovii,Thubunaea intestinalis
Quiscalus quiscula,Acuaria quiscali
Procyon lotor,Arthrocephalus lotoris
Hyla avivoca,Batracholandros bassi
Desmognathus brimleyorum,Batracholandros magnavulvaris
Plethodon caddoensis,Batracholandros magnavulvaris
Plethodon fourchensis,Batracholandros magnavulvaris
Plethodon ouachitae,Batracholandros magnavulvaris
Plethodon serratus,Batracholandros magnavulvaris
Plethodon albagula,Batracholandros salamandrae
Procyon lotor,Capillaria aerophila
Lynx rufus,Capillaria euproctus
Quiscalus quiscula,Capillaria ovopunctata
Procyon lotor,Capillaria plica
Procyon lotor,Capillaria procyonis
Procyon lotor,Capillaria putorii
Quiscalus quiscula,Chandlerella quiscali
Ambystoma annulatum,Cosmocercoides variabilis
Eurycea longicauda,Cosmocercoides variabilis
Eurycea lucifuga,Cosmocercoides variabilis
Procyon lotor,Crenosoma goblei
Procyon lotor,Cruzia americana
Desmognathus brimleyorum,Desmognathinema nantahalaensis
Eurycea multiplicata,Desmognathinema nantahalaensis
Procyon lotor,Dirofilaria tenuis
Procyon lotor,Dracunculus insignis
Quiscalus quiscula,Eufilaria hibleri
Siren intermedia,Falcaustra chabaudi
Lynx rufus,Filaroides rostratus
Procyon lotor,Gnathostoma procyonis
Desmognathus brimleyorum,Hedruris pendula
Odocoileus virginianus,Mazamastrongylus pursglovei
Procyon lotor,Molineus barbatus
Desmognathus brimleyorum,Omeia papillocauda
Odocoileus virginianus,Ostertagia dikmansi
Odocoileus virginianus,Ostertagia mossi
Eurycea longicauda,Oswaldocruzia euryceae
Eurycea lucifuga,Oswaldocruzia euryceae
Hyla avivoca,Oswaldocruzia pipiens
Cnemidophorus sexlineatus,Pharyngodon warneri
Lynx rufus,Physaloptera rara
Procyon lotor,Physaloptera rara
Elaphe obsoleta,Rhabdias eustreptos
Ambystoma annulatum,Rhabdias ranae
Odocoileus virginianus,Spiculopteragia odocoilei
Odocoileus virginianus,Spiculopteragia pursglovei
Trachemys scripta,Spironoura concinnae
Trachemys scripta,Spiroxys contorta
Quiscalus quiscula,Syngamus trachea
Cnemidophorus sexlineatus,Thubunaea cnemidophorus
Lynx rufus,Toxocara cati
Odocoileus virginianus,Trichostrongylus askivali
Odocoileus virginianus,Trichostrongylus axei
Sturnus vulgaris,Acuaria ornata
Himantopus himantopus,Chevreuxia revoluta
Miniopterus schreibersii,Molinostrongylus heydoni
Natrix natrix,Oswaldocruzia goezei
Circus aeruginosus,Pelecitus armenicus
Emys orbicularis,Spironoura armeniaca
Calidris alpina,Thominx contorta
Vanellus vanellus,Thominx contorta
Vanellus vanellus,Thominx vanelli
Myocastor coypus,Trichostrongylus colubriformis
Spermophilus citellus,Trichostrongylus skrjabini
Somateria mollissima,Amidostomum acutum
Physeter macrocephalus,Anisakis catodontis
Physeter macrocephalus,Anisakis pegreffii
Tursiops truncatus,Anisakis pegreffii
Ziphius cavirostris,Anisakis pegreffii
Kogia breviceps,Anisakis physeteris
Ziphius cavirostris,Anisakis physeteris
Phalacrocorax carbo,Anisakis schupakovi
Mirounga angustirostris,Anisakis similis
Balaenoptera physalus,Anisakis simplex
Cephalorhynchus commersonii,Anisakis simplex
Cystophora cristata,Anisakis simplex
Delphinus capensis,Anisakis simplex
Delphinus delphis,Anisakis simplex
Erignathus barbatus,Anisakis simplex
Hyperoodon ampullatus,Anisakis simplex
Kogia breviceps,Anisakis simplex
Lagenodelphis hosei,Anisakis simplex
Lagenorhynchus acutus,Anisakis simplex
Lagenorhynchus cruciger,Anisakis simplex
Lagenorhynchus obscurus,Anisakis simplex
Mesoplodon bidens,Anisakis simplex
Mesoplodon densirostris,Anisakis simplex
Orcinus orca,Anisakis simplex
Pagophilus groenlandicus,Anisakis simplex
Pseudorca crassidens,Anisakis simplex
Stenella coeruleoalba,Anisakis simplex
Tursiops truncatus,Anisakis simplex
Mesoplodon layardii,Anisakis simplex
Delphinus delphis,Anisakis typica
Globicephala melas,Anisakis typica
Kogia breviceps,Anisakis typica
Lagenorhynchus acutus,Anisakis typica
Lagenorhynchus cruciger,Anisakis typica
Pontoporia blainvillei,Anisakis typica
Sotalia fluviatilis,Anisakis typica
Stenella coeruleoalba,Anisakis typica
