Host,Parasite
Maxomys musschenbroekii,Maxomystrongylus musseri
Maxomys whiteheadi,Maxomystrongylus yasumai
Niviventer cremoriventer,Maxomystrongylus yasumai
Muntiacus muntjak,Mecistocirrus digitatus
Geochelone elegans,Mehdiella microstoma
Cophotis ceylanica,Meteterakis cophotis
Lyriocephalus scutatus,Meteterakis cophotis
Lyriocephalus scutatus,Meteterakis lyriocephali
Lyriocephalus scutatus,Meteterakis sinharajensis
Pseudotyphlops philippinus,Meteterakis sinharajensis
Rhinolophus affinis,Microfilaria sundaicus
Rhinoceros unicornis,Necator americanus
Rattus exulans,Nippostrongylus brasiliensis
Rattus losea,Nippostrongylus brasiliensis
Rattus nitidus,Nippostrongylus brasiliensis
Rattus tanezumi,Nippostrongylus brasiliensis
Rattus xanthurus,Nippostrongylus sembeli
Mallomys rothschildi,Odilia mallomysi
Maxomys musschenbroekii,Odilia mamasaensis
Rattus xanthurus,Odilia maxomyos
Rattus xanthurus,Odilia moatensis
Rattus xanthurus,Odilia sulawesiensis
Muntiacus muntjak,Oesophagostomum curvatum
Tragulus javanicus,Oesophagostomum sikae
Tragulus javanicus,Oesophagostomum traguli
Bos taurus,Oesophagostomum venulosum
Boselaphus tragocamelus,Oesophagostomum venulosum
Macaca sinica,Oesophagostomum aculeatum
Camelus bactrianus,Onchocerca fasciata
Camelus bactrianus,Onchocerca gibsoni
Ophiophagus hannah,Ophidascaris najae
Rattus argentiventer,Orientostrongylus tenorai
Rattus exulans,Orientostrongylus tenorai
Rattus losea,Orientostrongylus tenorai
Streptopelia chinensis,Ornithostrongylus quadriradiatus
Rhinophis drummondhayi,Oswaldocruzia gansi
Rhinophis philippinus,Oswaldocruzia gansi
Uropeltis melanogaster,Oswaldocruzia gansi
Trimeresurus sumatranus,Paracapillaria modiglianii
Eropeplus canus,Paraheligmonelloides eropeplios
Paruromys dominator,Paraheligmonelloides paruromyos
Hemidactylus flaviviridis,Parapharyngodon calotis
Hemidactylus frenatus,Parapharyngodon maplestoni
Gallus gallus,Paronchocerca rousseloti
Pavo muticus,Paronchocerca rousseloti
Hemidactylus triedrus,Pharyngodon frenatusi
Hylomys suillus,Physaloptera ngoci
Neofelis nebulosa,Physaloptera praeputialis
Circus melanoleucos,Porrocaecum depressum
Ardeola bacchus,Porrocaecum reticulatum
Egretta garzetta,Porrocaecum reticulatum
Corvus corone,Porrocaecum wui
Capra hircus,Protostrongylus indicus
Bubalus bubalis,Protostrongylus rufescens
Alcedo atthis,Proyseria decora
Sus scrofa,Pseudocruzia orientalis
Rattus exulans,Pterygodermatites whartoni
Tatera indica,Pterygodermatites variabilis
Ichthyophis glutinosus,Rhabditis chabaudi
Ichthyophis orthoplicatus,Rhabditis chabaudi
Garrulus glandarius,Rhabdochona hakyi
Hemidactylus flaviviridis,Rictularia cahirensis
Paguma larvata,Rictularia houdemeri
Viverra zibetha,Rictularia houdemeri
Paguma larvata,Rictularia paradoxuri
Viverricula indica,Rictularia paradoxuri
Herpestes javanicus,Rictularia proni
Hylomys suillus,Rictularia tani
Hylomys suillus,Rictularia vauceli
Tringa nebularia,Schistorophus skrjabini
Tragulus javanicus,Setaria effilaria
Boselaphus tragocamelus,Setaria labiatopapillosa
Muntiacus muntjak,Setaria labiatopapillosa
Hemidactylus flaviviridis,Simondsia paradoxa
Lepidodactylus aureolineatus,Skrjabinelazia machidai
Halcyon pileata,Skrjabinoclava halcyoni
Hemiphyllodactylus typus,Spauligodon hemidactylus
Muntiacus muntjak,Spiculopteragia janseni
Muntiacus muntjak,Spiculopteragia vietnamica
Eublepharis macularius,Spinicauda hardwickii
Laudakia nupta,Spinicauda hardwickii
Ailurus fulgens,Spirocerca lupi
Bubalus bubalis,Spirocerca lupi
Calotes versicolor,Spirocerca lupi
Capra hircus,Spirocerca lupi
Crocidura attenuata,Spirocerca lupi
Felis chaus,Spirocerca lupi
Oryctolagus cuniculus,Spirocerca lupi
Suncus murinus,Spirocerca lupi
Tyto alba,Spirocerca lupi
Rhinoceros unicornis,Stephanofilaria assamensis
Boselaphus tragocamelus,Stephanofilaria jaheeri
Boselaphus tragocamelus,Stephanofilaria zaheeri
Macaca sinica,Streptopharagus pigmentatus
Macaca sinica,Strongyloides fuelleborni
Rattus exulans,Strongyloides venezuelensis
Calotes nigrilabris,Strongyluris calotis
Pavo cristatus,Subulura minetti
Centropus sinensis,Subulura rimula
Caprimulgus macrurus,Subulura suctoria
Turnix suscitator,Subulura turnicis
Hylopetes nigripes,Syphabulea coli
Hylopetes nigripes,Syphabulea critesi
Rattus tanezumi,Syphacia muris
Chiropodomys gliroides,Syphacia pahangi
Rattus xanthurus,Syphacia muris
Rattus xanthurus,Syphacia sulawesiensis
Petaurista elegans,Sypharista chaii
Petaurista petaurista,Sypharista inflata
Petaurista elegans,Sypharista ramachandrani
Petaurista elegans,Sypharista sharifi
Callosciurus caniceps,Sypharista callosciuri
Pteromyscus pulverulentus,Sypharista longicaudata
Petinomys genibarbis,Sypharista muuli
Lariscus insignis,Syphatineria insignis
Sundasciurus steerii,Syphatineria oceanica
Callosciurus notatus,Syphatineria owyangi
Rhinosciurus laticaudatus,Syphatineria rhinosciuri
Menetes berdmorei,Syphatineria siamensis
Geochelone elegans,Tachygonetria conica
Geochelone elegans,Tachygonetria dentata
Geochelone elegans,Tachygonetria macrolaimus
Laudakia nupta,Tachygonetria paradentata
Anas platyrhynchos,Tetrameres mohtedai
Gallus gallus,Tetrameres mohtedai
Anas platyrhynchos,Tetrameres fissispina
Laudakia nupta,Thelandros baylisi
Laudakia tuberculata,Thelandros baylisi
Laudakia nupta,Thelandros massae
Laudakia nupta,Thelandros taylori
Laudakia tuberculata,Thelandros taylori
Gallus gallus,Thelaziella annamensis
Lophura diardi,Thelaziella annamensis
Tringa ochropus,Thominx contorta
Chelonia mydas,Tonaudia tonaudia
Merops viridis,Torquatella longiovata
Centropus sinensis,Torquatella torquata
Panthera tigris,Toxocara canis
Viverricula indica,Toxocara canis
Prionailurus bengalensis,Toxocara mystax
Arctonyx collaris,Toxocara vajrasthirae
Harpactes erythrocephalus,Tracheilonema rodhaini
Bos taurus,Trichocephalus globulosa
Muntiacus muntjak,Trichocephalus globulosa
Muntiacus muntjak,Trichocephalus lani
Menetes berdmorei,Trichocephalus megaloon
Hylomys suillus,Trichocephalus muris
Menetes berdmorei,Trichocephalus muris
Nycticebus pygmaeus,Trichocephalus trichiurus
Lepus nigricollis,Trichostrongylus colubriformis
Bubalus bubalis,Trichuris discolor
Bos grunniens,Trichuris globulosa
Boselaphus tragocamelus,Trichuris globulosa
Bubalus bubalis,Trichuris globulosa
Macaca sinica,Trichuris trichiura
Dinopium javanense,Tridentocapillaria javanensis
Vulpes bengalensis,Uncinaria stenocephala
Capra hircus,Varestrongylus capricola
Halcyon pileata,Viktorocara halcyoni
Halcyon smyrnensis,Viktorocara tenuis
Treron curvirostra,Viktorocara tenuis
Orlitia borneensis,Falcaustra greineri
Eschrichtius robustus,Anisakis simplex
Eumetopias jubatus,Contracaecum ogmorhini
Zalophus californianus,Contracaecum ogmorhini
Mirounga angustirostris,Otostrongylus circumlitus
Callorhinus ursinus,Parafilaroides decorus
Mirounga angustirostris,Parafilaroides decorus
Zalophus californianus,Parafilaroides decorus
Physeter macrocephalus,Anisakis dussumierii
Stenella longirostris,Anisakis dussumierii
Physeter macrocephalus,Anisakis ivanizkii
Balaenoptera acutorostrata,Anisakis pacificus
Balaenoptera borealis,Anisakis pacificus
Balaenoptera physalus,Anisakis pacificus
Orcinus orca,Anisakis pacificus
Histriophoca fasciata,Anisakis pacificus
Physeter macrocephalus,Anisakis pacificus
Berardius bairdii,Anisakis simplex
Lagenorhynchus obliquidens,Anisakis simplex
Lissodelphis borealis,Anisakis simplex
Megaptera novaeangliae,Anisakis simplex
Mirounga angustirostris,Anisakis simplex
Berardius bairdii,Anisakis skrjabini
Zalophus californianus,Contracaecum margolisi
Otaria flavescens,Contracaecum ogmorhini
Callorhinus ursinus,Contracaecum osculatum
Zalophus californianus,Contracaecum osculatum
Anous minutus,Contracaecum variegatum
Anous stolidus,Contracaecum variegatum
Phocoenoides dalli,Crassicauda boopis
Delphinapterus leucas,Crassicauda giliakiana
Balaenoptera physalus,Crassicauda pacifica
Berardius bairdii,Delamurella hyperoodoni
Zalophus californianus,Dipetalonema odendhali
Eumetopias jubatus,Filaroides sp.
Hydrophis caerulescens,Goezia holmesi
Hydrophis elegans,Goezia holmesi
Hydrophis ornatus,Goezia holmesi
Phocoenoides dalli,Halocercus dalli
Phocoenoides dalli,Halocercus kirbyi
Histriophoca fasciata,Otostrongylus circumlitus
Dugong dugon,Paradujardinia halicoris
Histriophoca fasciata,Porrocaecum azarasi
Neophocaena phocaenoides,Pseudostenurus auditivus
Histriophoca fasciata,Pseudoterranova azarasi
Enhydra lutris,Pseudoterranova decipiens
Zalophus californianus,Pseudoterranova decipiens
Neophocaena phocaenoides,Stenurus auditivus
Phocoenoides dalli,Stenurus minor
Neophocaena phocaenoides,Stenurus nanjingensis
Callorhinus ursinus,Terranova decipiens
Histriophoca fasciata,Terranova decipiens
Phocoenoides dalli,Torynurus dalli
Dorcopsis hageni,Cervonemella reardoni
Dorcopsis luctuosa,Cervonemella reardoni
Dorcopsis hageni,Cloacina caballeroi
Dorcopsis luctuosa,Cloacina caballeroi
Dorcopsis muelleri,Cloacina caballeroi
Thylogale calabyi,Cloacina cloelia
Dendrolagus dorianus,Cloacina cretheis
Dendrolagus goodfellowi,Cloacina cretheis
Dendrolagus inustus,Cloacina cretheis
Dendrolagus matschiei,Cloacina cretheis
Dendrolagus scottae,Cloacina cretheis
Thylogale browni,Cloacina dahli
Thylogale calabyi,Cloacina dahli
Dorcopsis hageni,Cloacina erigone
Dendrolagus scottae,Cloacina eurynome
Dendrolagus dorianus,Cloacina hecale
Dorcopsis hageni,Cloacina hyperea
Dorcopsis hageni,Cloacina nephele
Macropus agilis,Cloacina oweni
Macropus agilis,Cloacina papuensis
Dorcopsis hageni,Cloacina polymena
Dorcopsis hageni,Cloacina praxithea
Dorcopsis hageni,Cloacina procris
Dorcopsulus vanheurni,Cloacina sancus
Dorcopsulus vanheurni,Cloacina sappho
Dorcopsulus vanheurni,Cloacina sciron
Dorcopsulus vanheurni,Cloacina solon
Dorcopsulus vanheurni,Cloacina solymus
Dorcopsis hageni,Cloacina sterope
Dorcopsulus vanheurni,Cloacina sterope
Dorcopsis hageni,Cloacina syphax
Dorcopsulus vanheurni,Cloacina syphax
Dendrolagus matschiei,Cloacina theope
Dorcopsulus vanheurni,Coronostrongylus coronatus
Platymantis papuensis,Cosmocerca novaeguineae
Crocodylus novaeguineae,Crocodylocapillaria longiovata
Dendrolagus goodfellowi,Dorcopsinema dendrolagi
Dendrolagus inustus,Dorcopsinema dendrolagi
Dendrolagus scottae,Dorcopsinema dendrolagi
Dorcopsulus vanheurni,Dorcopsinema simile
Dorcopsulus vanheurni,Dorcopsistrongylus labiacarinatus
Crocodylus porosus,Dujardinascaris angusae
Crocodylus novaeguineae,Dujardinascaris harrisae
Crocodylus porosus,Dujardinascaris harrisae
Crocodylus novaeguineae,Dujardinascaris mawsonae
Crocodylus porosus,Dujardinascaris westonae
Platymantis papuensis,Icosiella papuensis
Thylogale brunii,Labiostrongylus labiostrongylus
Thylogale calabyi,Labiostrongylus flanneryi
Dorcopsis hageni,Labiostrongylus redmondi
Litoria infrafrenata,Maxvachonia adamsoni
Litoria nasuta,Maxvachonia ewersi
Platymantis papuensis,Ochoterenella papuensis
Morelia amethistina,Ophidascaris papuanus
Demansia papuensis,Ophidascaris pyrrhus
Dorcopsulus vanheurni,Paralabiostrongylus bicollaris
Cophixalus riparius,Parathelandros andersoni
Crocodylus acutus,Paratrichosoma crocodylus
Crocodylus novaeguineae,Paratrichosoma crocodylus
Chlamydosaurus kingii,Pseudothamugadia physignathi
Sus scrofa,Trichinella papuae
Eptesicus furinalis,Allintoshius bioccai
Eptesicus furinalis,Allintoshius parallintoshius
Myotis albescens,Allintoshius parallintoshius
Myotis riparius,Allintoshius parallintoshius
Euphractus sexcinctus,Ascaris dasypodina
Caiman yacare,Brevimulticaecum baylisi
Caiman yacare,Brevimulticaecum stekhoveni
Euphractus sexcinctus,Cruzia tentaculata
Caiman yacare,Dujardinascaris paulista
Dasyprocta azarae,Durettestrongylus baudi
Dasyprocta azarae,Fuellebornema demarsae
Dasyprocta azarae,Fuellebornema granulosa
Euphractus sexcinctus,Mazzia mazzia
Caiman yacare,Micropleura vazi
Molossops temminckii,Molostrongylus acanthocolpos
Molossops temminckii,Molostrongylus mbopi
Caiman yacare,Ortleppascaris alata
Dasyprocta azarae,Pudica gonosomae
Dasyprocta azarae,Pudica pudica
Leptodactylus labyrinthicus,Schrankiana brasili
Leptodactylus elenae,Schrankiana formosula
Leptodactylus fuscus,Schrankiana formosula
Leptodactylus fuscus,Schrankiana fuscus
Leptodactylus labyrinthicus,Schrankiana larvata
Euphractus sexcinctus,Spirura guianensis
Sorex fumeus,Angiostrongylus michiganensis
Glaucomys volans,Capillaria americana
Colaptes auratus,Capillaria tridens
Sciurus carolinensis,Heligmodendrium hassalli
Zenaida macroura,Ornithostrongylus crami
Tamias striatus,Rictularia halli
Sciurus carolinensis,Strongyloides robustus
Tamias striatus,Strongyloides robustus
Sturnus vulgaris,Acuaria anthuris
Bison bonasus,Aonchotheca bilobata
Bison bonasus,Ashworthius sidemi
Phasianus colchicus,Capillaria anatis
Fringilla coelebs,Capillaria angusta
Bison bonasus,Capillaria bilobata
Sturnus vulgaris,Capillaria caudinflata
Accipiter gentilis,Capillaria falconis
Asio otus,Capillaria falconis
Buteo buteo,Capillaria falconis
Haliaeetus albicilla,Capillaria falconis
Strix aluco,Capillaria falconis
Sturnus vulgaris,Capillaria inflexa
Gavia arctica,Capillaria mergi
Gavia stellata,Capillaria mergi
Sturnus vulgaris,Capillaria obsignata
Erithacus rubecula,Capillaria ovopunctata
Turdus philomelos,Capillaria ovopunctata
Corvus frugilegus,Capillaria resecta
Coloeus monedula,Capillaria resecta
Parus major,Capillaria tridens
Parus major,Cardiofilaria pavlovskyi
Bison bonasus,Chabertia ovina
Ardea purpurea,Contracaecum micropapillatum
Ardea alba,Contracaecum micropapillatum
Mergus squamatus,Contracaecum micropapillatum
Phalacrocorax carbo,Contracaecum micropapillatum
Tachybaptus ruficollis,Contracaecum micropapillatum
Stercorarius pomarinus,Contracaecum micropapillatum
Gavia stellata,Contracaecum rudolphii
Podiceps cristatus,Contracaecum rudolphii
Bison bonasus,Cooperia oncophora
Bison bonasus,Cooperia pectinata
Dama dama,Cooperia pectinata
Bison bonasus,Cooperia punctata
Bison bonasus,Cooperia surnabada
Bison bonasus,Cooperia zurnabada
Natrix natrix,Cosmocerca ornata
Vipera berus,Cosmocerca ornata
Cervus elaphus,Cutifilaria wenki
Cervus elaphus,Cystocaulus nigrescens
Ovis aries,Cystocaulus nigrescens
Cervus elaphus,Dictyocaulus nerneri
Dama dama,Dictyocaulus noerneri
Bison bonasus,Dictyocaulus viviparus
Ovis aries,Dictyocaulus viviparus
Dama dama,Elaphostrongylus cervi
Anas platyrhynchos,Eucoleus contortus
Bison bonasus,Haemonchus placei
Natrix natrix,Hedruris androphora
Lacerta vivipara,Mermis nigrescens
Bison bonasus,Nematodirella alcidis
Bison bonasus,Nematodirus europaeus
Bison bonasus,Nematodirus helvetianus
Bison bonasus,Nematodirus roscidus
Cervus elaphus,Nematodirus roscidus
Bison bonasus,Oesophagostomum radiatum
Bison bonasus,Oesophagostomum venulosum
Cervus elaphus,Onchocerca garmsi
Bison bonasus,Onchocerca gutturosa
Bison bison,Onchocerca lienalis
Bison bonasus,Onchocerca lienalis
Cervus elaphus,Ostertagia drozdzi
Dama dama,Ostertagia drozdzi
Alces alces,Ostertagia kolchida
Bison bonasus,Ostertagia kolchida
Cervus nippon,Ostertagia kolchida
Bison bonasus,Ostertagia lyrata
Alces alces,Ostertagia lyrataeformis
Bison bonasus,Ostertagia ostertagi
Bombina bombina,Oswaldocruzia bialata
Bombina variegata,Oswaldocruzia bialata
Rana arvalis,Oswaldocruzia bialata
Rana temporaria,Oswaldocruzia bialata
Triturus cristatus,Oswaldocruzia filiformis
Natrix natrix,Oxysomatium brevicaudatum
Vipera berus,Oxysomatium brevicaudatum
Gavia stellata,Paracuaria tridentata
Vipera berus,Paraentomelas dujardini
Accipiter nisus,Porrocaecum angusticolle
Sturnus vulgaris,Porrocaecum semiteres
Cervus elaphus,Protostrongylus kochi
Ovis aries,Protostrongylus kochi
Vipera berus,Rhabdias fuscovenosa
Equus przewalskii,Setaria equina
Bison bonasus,Setaria labiatopapillosa
Bison bonasus,Spiculopteragia asymmetrica
Alces alces,Spiculopteragia boehmi
Bison bonasus,Spiculopteragia boehmi
Cervus elaphus,Spiculopteragia boehmi
Cervus nippon,Spiculopteragia boehmi
Dama dama,Spiculopteragia boehmi
Cervus elaphus,Spiculopteragia dagestanica
Alces alces,Spiculopteragia mathevossiani
Bison bonasus,Spiculopteragia mathevossiani
Cervus nippon,Spiculopteragia mathevossiani
Dama dama,Spiculopteragia mathevossiani
Elaphurus davidianus,Spiculopteragia suppereri
Gavia stellata,Stegophorus stellaepolaris
Natrix natrix,Strongyloides mirzai
Cervus elaphus,Teladorsagia circumcincta
Bison bonasus,Thelazia gulosa
Accipiter gentilis,Thominx contorta
Buteo buteo,Thominx contorta
Strix aluco,Thominx contorta
Sturnus vulgaris,Thominx contorta
Sturnus vulgaris,Thominx similis
Asio otus,Thominx tenuissima
Athene noctua,Thominx tenuissima
Strix aluco,Thominx tenuissima
Bison bonasus,Trichocephalus ovis
Cervus elaphus,Trichostrongylus askivali
Dama dama,Trichostrongylus askivali
Bison bonasus,Trichostrongylus axei
Bison bonasus,Trichostrongylus capricola
Phasianus colchicus,Trichostrongylus tenuis
Bison bonasus,Trichostrongylus vitrinus
Mus musculus,Uncinaria stenocephala
Dama dama,Varestrongylus sagittatus
Garrulus glandarius,Acuaria gruveli
Apodemus sylvaticus,Angiostrongylus dujardini
Meles meles,Aonchotheca putorii
Bufo bufo,Aplectana macintoshii
Alectoris rufa,Cyrnea parroti
Vulpes vulpes,Filaroides martis
Vulpes vulpes,Graphidium strigosum
Otis tarda,Heterakis isolonche
Meles meles,Mastophorus muris
Sus scrofa,Metastrongylus pulmonalis
Alectoris rufa,Subulura suctoria
Bubo bubo,Synhimantus laticeps
Sciurus vulgaris,Syphabulea mascomai
Alectoris rufa,Trichostrongylus tenuis
Phasianus colchicus,Acuaria lophurae
Larus argentatus,Aprocta turgida
Aythya ferina,Epomidiostomum mirmoazzamalii
Netta rufina,Epomidiostomum mirmoazzamalii
Microtus oeconomus,Heligmosomoides orientalis
Alectoris chukar,Heterakis macroura
Perdix perdix,Heterakis macroura
Tetraogallus caucasicus,Heterakis macroura
Tetraogallus himalayensis,Heterakis macroura
Tetraogallus tibetanus,Heterakis macroura
Sorex isodon,Longistriata depressa
Sorex tundrensis,Longistriata depressa
Tetrastes bonasia,Skrjabinocerca prima
Larus argentatus,Streptocara crassicauda
Tetrastes bonasia,Tetrameres oxylabiatus
Anas penelope,Pseudamidostomum penelopi
Phasianus colchicus,Pterothominx meleagridis
Bombina bombina,Rhabdias rubrovenosa
Speleomantes supramontis,Archeonema lanzai
Speleomantes supramontis,Cosmocerca sardiniae
Speleomantes imperialis,Pharyngodon italicus
Lutra lutra,Anisakis simplex
Gavia stellata,Contracaecum variegatum
Equus caballus,Cylicodontophorus euproctus
Equus caballus,Cylicostephanus asymetricus
Buteo lagopus,Filaria smithi
Buteo lagopus,Heterakis papillosa
Ovis aries,Nematodirus battus
Lutra lutra,Pseudoterranova decipiens
Buteo lagopus,Syngamus trachea
Ovis aries,Teladorsagia davtiani
Buteo lagopus,Trichosoma longicolle
Sciurus carolinensis,Trypanoxyuris sciuri
Plectropterus gambensis,Epomidiostomum uncinatum
Chamaeleo senegalensis,Foleyella furcata
Mastomys erythroleucus,Gongylonema madeleinensis
Mastomys erythroleucus,Heligmonina bignonensis
Cricetomys gambianus,Heligmonina bioccai
Arvicanthis niloticus,Neoheligmonella bai
Arvicanthis niloticus,Neoheligmonella dielmensis
Mastomys erythroleucus,Neoheligmonella mastomysi
Mastomys erythroleucus,Neoheligmonella skirringi
Mastomys huberti,Pterygodermatites senegalensis
Ourebia ourebi,Setaria gaillardi
Sylvicapra grimmia,Setaria scalprum
Dendrocygna viduata,Subulura brumpti
Arvicanthis niloticus,Subulura saloumensis
Mastomys erythroleucus,Subulura saloumensis
Mastomys huberti,Subulura saloumensis
Arvicanthis niloticus,Trichosomoides nasalis
Hystrix cristata,Wellcomia roussilloni
Apodemus sylvaticus,Nippostrongylus brasiliensis
Erinaceus europaeus,Spirura rytipleurites
Mus musculus,Syphacia muris
Acinonyx jubatus,Ancylostoma brasiliense
Canis mesomelas,Ancylostoma brasiliense
Crocuta crocuta,Ancylostoma brasiliense
Genetta genetta,Ancylostoma brasiliense
Otocyon megalotis,Ancylostoma brasiliense
Acinonyx jubatus,Ancylostoma caninum
Canis mesomelas,Ancylostoma caninum
Crocuta crocuta,Ancylostoma caninum
Crocuta crocuta,Ancylostoma duodenale
Genetta genetta,Ancylostoma genettae
Canis mesomelas,Ancylostoma somaliense
Acinonyx jubatus,Ancylostoma tubaeforme
Canis mesomelas,Ancylostoma tubaeforme
Genetta genetta,Ancylostoma tubaeforme
Ichneumia albicauda,Arthrocephalus gambiense
Acryllium vulturinum,Ascaridia numidae
Phacochoerus aethiopicus,Daubneyia oldi
Madoqua saltiana,Haemonchus contortus
Madoqua saltiana,Impalaia tuberculata
Phacochoerus aethiopicus,Murshidia hamata
Phacochoerus aethiopicus,Murshidia pugnicaudata
Acomys dimidiatus,Neoheligmonella acomysi
Phacochoerus aethiopicus,Phacocoerostrongylus hylochoeri
Phacochoerus aethiopicus,Setaria congolensis
Acryllium vulturinum,Sicarius renatae
Madoqua saltiana,Skrjabinema ovis
Acryllium vulturinum,Subulura suctoria
Acryllium vulturinum,Syphaciella nagpurensis
Mellivora capensis,Uncinaria parvibursata
Damaliscus lunatus,Agriostomum cursoni
Tragelaphus strepsiceros,Agriostomum gorgonis
Xenopus laevis,Camallanus xenopodis
Xenopus laevis,Chabaudus leberrei
Xenopus muelleri,Chabaudus leberrei
Anhinga melanogaster,Contracaecum carlislei
Phalacrocorax carbo,Contracaecum carlislei
Anhinga melanogaster,Contracaecum jokli
Phalacrocorax carbo,Contracaecum jokli
Anhinga melanogaster,Contracaecum lawrencei
Phalacrocorax carbo,Contracaecum lawrencei
Anhinga melanogaster,Contracaecum microcephalum
Phalacrocorax carbo,Contracaecum microcephalum
Anhinga melanogaster,Contracaecum rodhaini
Phalacrocorax carbo,Contracaecum rodhaini
Anhinga melanogaster,Contracaecum rudolphii
Damaliscus lunatus,Cooperia fuelleborni
Tragelaphus strepsiceros,Cooperia fuelleborni
Damaliscus lunatus,Cooperia hungi
Lepus saxatilis,Cooperia hungi
Phacochoerus aethiopicus,Cooperia hungi
Tragelaphus strepsiceros,Cooperia hungi
Damaliscus lunatus,Cooperia yoshidai
Tragelaphus strepsiceros,Cooperia yoshidai
Equus asinus,Coronocyclus coronatus
Equus zebra,Crossocephalus viviparus
Equus asinus,Cyathostomum alveatum
Equus zebra,Cyathostomum catinatum
Equus zebra,Cyathostomum labratum
Equus zebra,Cyathostomum montgomeryi
Equus zebra,Cyathostomum tetracanthum
Equus zebra,Cylicocyclus auriculatus
Equus zebra,Cylicocyclus gyalocephaloides
Equus zebra,Cylicocyclus nassatus
Equus zebra,Cylicostephanus calicatus
Equus zebra,Cylicostephanus longiconus
Equus zebra,Cylicostephanus minutus
Lepus saxatilis,Dermatoxys vlakhaasi
Equus zebra,Draschia megastoma
Papio ursinus,Enterobius vermicularis
Hystrix africaeaustralis,Filaria bakerhugoti
Panthera leo,Filaria latala
Pedetes capensis,Filaria versterae
Equus zebra,Habronema muscae
Equus zebra,Habronema zebrae
Damaliscus lunatus,Haemonchus bedfordi
Damaliscus lunatus,Haemonchus contortus
Pelea capreolus,Haemonchus contortus
Redunca redunca,Haemonchus contortus
Pelea capreolus,Haemonchus horaki
Bitis gabonica,Hexametra quadricornis
Causus rhombeatus,Hexametra quadricornis
Damaliscus lunatus,Impalaia tuberculata
Phacochoerus aethiopicus,Impalaia tuberculata
Macrelaps microlepidotus,Kalicephalus costatus
Bitis arietans,Kalicephalus vipera
Causus rhombeatus,Kalicephalus vipera
Miniopterus schreibersii,Litomosa chiropterorum
Aepyceros melampus,Longistrongylus sabie
Raphicerus melanotis,Longistrongylus sabie
Sylvicapra grimmia,Longistrongylus sabie
Felis catus,Molineus cati
Sylvicapra grimmia,Nematodirus abnormalis
Tragelaphus strepsiceros,Nematodirus helvetianus
Damaliscus lunatus,Oesophagostomum columbianum
Phacochoerus aethiopicus,Oesophagostomum mocambiquei
Phacochoerus aethiopicus,Oesophagostomum mwanzae
Bitis arietans,Ophidascaris intorta
Bitis gabonica,Ophidascaris intorta
Naja mossambica,Ophidascaris najae
Naja nivea,Ophidascaris najae
Causus rhombeatus,Ophidascaris radiosa
Causus rhombeatus,Orneoascaris chrysanthemoides
Damaliscus lunatus,Ostertagia circumcincta
Pelea capreolus,Ostertagia triquetra
Agama atra,Parapharyngodon rotundatus
Rhinolophus clivosus,Physaloptera bedfordi
Papio ursinus,Physaloptera caucasica
Agama atra,Physalopteroides impar
Phacochoerus aethiopicus,Physocephalus sexalatus
Aepyceros melampus,Pneumostrongylus calcaratus
Bitis arietans,Polydelphis anoura
Python sebae,Polydelphis anoura
Equus zebra,Probstmayria vivipara
Phacochoerus aethiopicus,Probstmayria vivipara
Xenopus laevis,Procamallanus slomei
Bitis arietans,Rhabdias fuscovenosa
Hemachatus haemachatus,Rhabdias fuscovenosa
Naja nivea,Rhabdias fuscovenosa
Pachydactylus capensis,Spauligodon molopoensis
Hippopotamus amphibius,Stephanofilaria thelazioides
Papio ursinus,Streptopharagus pigmentatus
Rhinolophus clivosus,Strongylacantha pretoriensis
Papio ursinus,Strongyloides fuelleborni
Tragelaphus strepsiceros,Strongyloides papillosus
Equus asinus,Strongyloides westeri
Bradypodion pumilum,Strongyluris brevicaudata
Bradypodion pumilum,Strongyluris capensis
Agama atra,Strongyluris ornata
Paraxerus cepapi,Syphatineria cepapi
Varanus albigularis,Tanqua tiara
Raphicerus melanotis,Teladorsagia circumcincta
Sylvicapra grimmia,Teladorsagia circumcincta
Antidorcas marsupialis,Teladorsagia hamata
Oryx gazella,Teladorsagia hamata
Genetta genetta,Toxocara genettae
Mungos mungo,Toxocara suricattae
Sylvicapra grimmia,Trichostrongylus axei
Damaliscus lunatus,Trichostrongylus colubriformis
Aepyceros melampus,Trichostrongylus deflexus
Damaliscus lunatus,Trichostrongylus deflexus
Kobus ellipsiprymnus,Trichostrongylus deflexus
Lepus saxatilis,Trichostrongylus deflexus
Ourebia ourebi,Trichostrongylus deflexus
Phacochoerus aethiopicus,Trichostrongylus deflexus
Raphicerus campestris,Trichostrongylus deflexus
Raphicerus melanotis,Trichostrongylus deflexus
Sylvicapra grimmia,Trichostrongylus deflexus
Taurotragus oryx,Trichostrongylus deflexus
Tragelaphus scriptus,Trichostrongylus deflexus
Tragelaphus strepsiceros,Trichostrongylus deflexus
Damaliscus lunatus,Trichostrongylus falculatus
Lepus saxatilis,Trichostrongylus falculatus
Papio ursinus,Trichostrongylus falculatus
Phacochoerus aethiopicus,Trichostrongylus falculatus
Raphicerus melanotis,Trichostrongylus falculatus
Phacochoerus aethiopicus,Trichostrongylus hypsokysta
Phacochoerus aethiopicus,Trichostrongylus instabilis
Raphicerus melanotis,Trichostrongylus pietersei
Raphicerus melanotis,Trichostrongylus rugatus
